11:45:58,31.33,1,4,31.35_31.40_31.45_31.47_,1_3_1_80_,31.33_31.15_31.14_,1_1_20_
11:46:03,31.33,1,4,31.35_31.40_31.46_,1_3_81_,31.33_31.15_31.13_,1_1_20_
11:46:08,31.33,1,4,31.35_31.40_31.44_31.45_,1_3_1_80_,31.33_31.14_31.13_,1_1_20_
11:46:13,31.33,1,4,31.35_31.40_31.45_,1_3_81_,31.33_31.14_31.12_,1_1_20_
11:46:23,31.33,1,4,31.35_31.40_31.44_31.45_,1_3_1_80_,31.33_31.14_31.12_,1_1_20_
11:48:11,31.33,1,4,31.35_31.40_31.45_,1_3_81_,31.33_31.14_31.12_,1_1_20_
11:48:21,31.33,1,4,31.35_31.40_31.44_,1_3_81_,31.33_31.14_31.12_,1_1_20_
11:48:27,31.33,1,4,31.35_31.40_31.44_,1_3_81_,31.33_31.13_31.12_,1_1_20_
11:48:42,31.33,1,4,31.35_31.40_31.44_31.45_,1_3_1_80_,31.33_31.14_31.12_,1_1_20_
11:50:45,31.33,1,4,31.35_31.40_31.45_31.46_,1_3_1_80_,31.33_31.15_,1_1_
11:52:17,31.33,1,4,31.35_31.40_31.44_,1_3_1_,31.33_31.14_31.12_,1_1_20_
11:52:43,31.33,1,4,31.35_31.40_31.45_31.46_,1_3_1_80_,31.33_31.15_31.13_,1_1_20_
11:53:29,31.33,1,4,31.35_31.40_31.45_,1_3_1_,31.33_31.15_31.12_,1_1_20_
11:55:58,31.33,1,4,31.35_31.40_31.47_,1_3_81_,31.33_31.17_31.15_,1_1_20_
11:57:40,31.33,1,4,31.35_31.40_31.46_,1_3_81_,31.33_31.16_31.13_,1_1_20_
11:57:45,31.33,1,4,31.35_31.40_31.44_31.46_,1_3_1_80_,31.33_31.14_31.13_,1_1_20_
11:58:01,31.33,1,4,31.35_31.40_31.44_,1_3_81_,31.33_31.14_31.12_,1_1_20_
11:59:54,31.33,1,4,31.35_31.40_31.44_31.45_,1_3_1_80_,31.33_31.14_31.12_,1_1_20_
11:59:59,31.33,1,4,31.35_31.40_31.44_,1_3_81_,31.33_31.14_31.12_,1_1_20_
12:00:04,31.33,1,4,31.35_31.40_31.43_31.44_,1_3_1_80_,31.33_31.13_31.11_,1_1_20_
12:00:09,31.33,1,4,31.35_31.40_31.44_,1_3_81_,31.33_31.14_31.11_,1_1_20_
12:00:29,31.33,1,4,31.35_31.40_31.42_31.43_,1_3_1_80_,31.33_31.12_31.11_,1_1_20_
12:01:00,31.33,1,4,31.35_31.40_31.46_,1_3_81_,31.33_31.16_31.14_,1_1_20_
12:01:05,31.33,1,4,31.35_31.40_31.45_,1_3_81_,31.33_31.14_,1_1_
12:01:16,31.33,1,4,31.35_31.40_31.47_,1_3_1_,31.33_31.16_31.12_,1_1_20_
12:01:21,31.33,1,4,31.35_31.40_31.46_31.47_,1_3_1_80_,31.33_31.16_,1_1_
12:01:26,31.33,1,4,31.35_31.40_31.44_,1_3_81_,31.33_31.13_31.12_,1_1_20_
12:02:07,31.33,1,4,31.35_31.40_31.43_,1_3_81_,31.33_31.12_31.11_,1_1_20_
12:02:17,31.33,1,4,31.35_31.40_31.44_,1_3_1_,31.33_31.14_31.11_,1_1_20_
12:02:22,31.33,1,4,31.35_31.40_31.45_,1_3_81_,31.33_31.15_31.12_,1_1_20_
12:02:27,31.33,1,4,31.35_31.40_31.44_31.45_,1_3_1_80_,31.33_,1_
12:02:33,31.33,1,4,31.35_31.40_31.44_31.45_,1_3_1_80_,31.33_31.14_,1_1_
12:02:38,31.33,1,4,31.35_31.40_31.42_,1_3_81_,31.33_31.12_31.10_,1_1_20_
12:02:43,31.33,1,4,31.35_31.40_31.43_,1_3_81_,31.33_31.12_31.11_,1_1_20_
12:02:48,31.33,1,4,31.35_31.40_31.42_31.43_,1_3_1_80_,31.33_31.12_,1_1_
12:04:05,31.33,1,4,31.35_31.40_31.41_,1_3_1_,31.33_31.11_31.08_,1_1_20_
12:05:27,31.33,1,5,31.35_31.40_31.41_31.42_,1_3_1_80_,31.11_,1_
12:07:19,31.33,1,5,31.35_31.40_31.43_,1_3_81_,31.13_31.10_,1_20_
12:07:25,31.33,1,5,31.35_31.40_31.43_,1_3_81_,31.13_31.11_,1_20_
12:07:30,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.14_31.12_,1_20_
12:07:35,31.33,1,5,31.35_31.40_31.41_31.44_,1_3_1_80_,31.11_,1_
12:10:24,31.33,1,5,31.35_31.40_31.43_,1_3_81_,31.13_31.11_,1_20_
12:11:46,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.14_31.11_,1_20_
12:11:51,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.14_31.12_,1_20_
12:14:25,31.33,1,5,31.35_31.40_31.45_31.46_,1_3_1_80_,31.14_31.13_,1_20_
12:14:35,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.13_,1_20_
12:15:57,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.12_,1_20_
12:16:02,31.33,1,5,31.35_31.40_31.44_31.45_,1_3_1_80_,31.14_31.12_,1_20_
12:16:07,31.33,1,5,31.35_31.40_31.43_31.44_,1_3_1_80_,31.13_,1_
12:16:12,31.33,1,5,31.35_31.40_31.44_31.45_,1_3_1_80_,31.14_31.12_,1_20_
12:17:24,31.33,1,5,31.35_31.40_31.46_31.47_,1_3_1_80_,31.16_31.15_,1_20_
12:17:34,31.33,1,5,31.35_31.40_31.44_31.46_,1_3_1_80_,31.14_,1_
12:18:05,31.33,1,5,31.35_31.40_31.43_31.44_,1_3_80_1_,31.13_31.11_,1_20_
12:18:10,31.33,1,5,31.35_31.40_31.44_31.45_,1_3_80_1_,31.14_31.11_,1_20_
12:18:26,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.13_,1_20_
12:18:41,31.33,1,5,31.35_31.40_31.44_31.46_,1_3_1_80_,31.14_,1_
12:18:46,31.33,1,5,31.35_31.40_31.46_,1_3_1_,31.16_31.13_,1_20_
12:18:51,31.33,1,5,31.35_31.40_31.44_31.46_,1_3_1_80_,31.14_31.13_,1_20_
12:18:56,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.14_31.12_,1_20_
12:21:20,31.33,1,5,31.35_31.40_31.44_31.45_,1_3_1_80_,31.14_31.12_,1_20_
12:21:51,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.13_31.12_,1_20_
12:22:22,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.13_,1_20_
12:23:02,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.14_31.13_,1_20_
12:23:13,31.33,1,5,31.35_31.40_31.46_,1_3_81_,31.16_31.13_,1_20_
12:27:24,31.33,1,5,31.35_31.40_31.43_,1_3_81_,31.13_31.11_,1_20_
12:28:05,31.33,1,5,31.35_31.40_31.45_,1_3_1_,31.15_31.13_,1_20_
12:28:46,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.13_,1_20_
12:29:42,31.33,1,5,31.35_31.40_31.45_31.46_,1_3_1_80_,31.15_31.13_,1_20_
12:31:40,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.13_,1_20_
12:33:48,31.33,1,5,31.35_31.40_31.46_,1_3_1_,31.16_,1_
12:33:53,31.33,1,5,31.35_31.40_31.46_,1_3_81_,31.16_31.14_,1_20_
12:33:58,31.33,1,5,31.35_31.40_31.45_31.46_,1_3_1_80_,31.15_31.13_,1_20_
12:34:08,31.33,1,5,31.35_31.40_31.46_,1_3_81_,31.15_31.13_,1_20_
12:34:19,31.33,1,5,31.35_31.40_31.44_31.45_,1_3_1_80_,31.14_,1_
12:35:10,31.33,1,5,31.35_31.40_31.45_31.46_,1_3_1_80_,31.15_31.13_,1_20_
12:39:26,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.14_31.12_,1_20_
12:39:52,31.33,1,5,31.35_31.40_31.44_,1_3_81_,31.12_,20_
12:39:57,31.33,1,5,31.35_31.40_31.43_,1_3_81_,31.12_31.10_,1_20_
12:40:02,31.33,1,5,31.35_31.40_31.45_31.46_,1_3_1_80_,31.15_31.13_,1_20_
12:40:07,31.33,1,5,31.35_31.40_31.45_31.46_,1_3_1_80_,31.14_31.13_,1_20_
12:40:33,31.33,1,5,31.35_31.40_31.46_31.47_,1_3_1_80_,31.16_31.14_,1_20_
12:40:48,31.33,1,5,31.35_31.40_31.45_,1_3_1_,31.15_31.12_,1_20_
12:40:53,31.33,1,5,31.35_31.40_31.45_31.47_,1_3_1_80_,31.15_31.14_,1_20_
12:41:04,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.14_31.12_,1_20_
12:41:45,31.33,1,5,31.35_31.40_31.45_,1_3_81_,31.15_31.13_,1_20_
12:41:55,31.33,1,5,31.35_31.40_31.44_31.45_,1_3_1_80_,31.14_31.13_,1_20_
12:46:21,31.33,1,5,31.35_31.40_31.46_31.47_,1_3_1_80_,31.16_31.14_,1_20_
12:50:17,31.33,1,5,31.35_31.40_31.48_,1_3_81_,31.17_31.15_,1_20_
12:51:09,31.33,1,5,31.35_31.40_31.48_31.49_,1_3_1_80_,31.18_31.16_,1_20_
12:51:19,31.33,1,5,31.35_31.40_31.48_,1_3_81_,31.18_31.16_,1_20_
12:51:44,31.33,1,5,31.35_31.40_31.49_31.50_,1_3_80_1_,31.19_31.16_,1_20_
