tse_1101.twtse_1102.twtse_1216.twtse_1227.twtse_1301.twtse_1303.twtse_1314.twtse_1319.twtse_1326.twtse_1402.twtse_1434.twtse_1440.twtse_1476.twtse_1477.twtse_1504.twtse_1507.twtse_1590.twtse_1605.twtse_1710.twtse_1717.twtse_1722.twtse_1723.twtse_1789.twtse_1802.twtse_1907.twtse_2002.twtse_2006.twtse_2015.twtse_2049.twtse_2059.twtse_2101.twtse_2103.twtse_2105.twtse_2106.twtse_2201.twtse_2204.twtse_2206.twtse_2207.twtse_2227.twtse_2301.twtse_2303.twtse_2308.twtse_2311.twtse_2317.twtse_2324.twtse_2325.twtse_2327.twtse_2330.twtse_2337.twtse_2344.twtse_2347.twtse_2352.twtse_2353.twtse_2354.twtse_2356.twtse_2357.twtse_2360.twtse_2362.twtse_2376.twtse_2377.twtse_2379.twtse_2382.twtse_2385.twtse_2392.twtse_2393.twtse_2395.twtse_2408.twtse_2409.twtse_2412.twtse_2439.twtse_2448.twtse_2449.twtse_2451.twtse_2454.twtse_2474.twtse_2498.twtse_2501.twtse_2511.twtse_2542.twtse_2603.twtse_2606.twtse_2609.twtse_2610.twtse_2615.twtse_2618.twtse_2707.twtse_2723.twtse_2727.twtse_2801.twtse_2809.twtse_2812.twtse_2823.twtse_2834.twtse_2838.twtse_2845.twtse_2855.twtse_2880.twtse_2881.twtse_2882.twtse_2883.twtse_2884.twtse_2885.twtse_2886.twtse_2887.twtse_2888.twtse_2890.twtse_2891.twtse_2892.twtse_2903.twtse_2912.twtse_2915.twtse_3008.twtse_3034.twtse_3037.twtse_3044.twtse_3045.twtse_3060.twtse_3189.twtse_3231.twtse_3474.twtse_3481.twtse_3576.twtse_3673.twtse_3682.twtse_3702.twtse_4904.twtse_4938.twtse_4958.twtse_5264.twtse_5522.twtse_5871.twtse_5880.twtse_6005.twtse_6116.twtse_6176.twtse_6239.twtse_6271.twtse_6286.twtse_6505.twtse_8046.twtse_8150.twtse_9904.twtse_9907.twtse_9910.twtse_9914.twtse_9917.twtse_9921.twtse_9933.twtse_9940.twtse_9945.tw
[ERROR] msgArray not 150 error
         51829 function calls (50330 primitive calls) in 0.134 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 dylib.py:6(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:69(get_netrc_auth)
        2    0.000    0.000    0.001    0.001 cookielib.py:1555(make_cookies)
        1    0.000    0.000    0.001    0.001 urllib2.py:76(<module>)
12030/11762    0.001    0.000    0.001    0.000 {len}
     2301    0.001    0.000    0.001    0.000 {isinstance}
        2    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
     1701    0.001    0.000    0.001    0.000 sre_parse.py:204(match)
        1    0.001    0.001    0.001    0.001 urllib.py:23(<module>)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
        1    0.000    0.000    0.001    0.001 models.py:8(<module>)
     6060    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       14    0.000    0.000    0.001    0.000 abc.py:86(__new__)
        2    0.001    0.000    0.001    0.000 response.py:1(<module>)
       14    0.000    0.000    0.001    0.000 _abcoll.py:545(update)
        2    0.000    0.000    0.001    0.000 cookielib.py:444(parse_ns_headers)
        6    0.000    0.000    0.001    0.000 re.py:168(split)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.001    0.001 url.py:1(<module>)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
    43/23    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       57    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {function seed at 0x104351e60}
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        1    0.000    0.000    0.001    0.001 netrc.py:25(__init__)
        1    0.001    0.001    0.001    0.001 exceptions.py:4(<module>)
        1    0.000    0.000    0.001    0.001 netrc.py:37(_parse)
        1    0.000    0.000    0.001    0.001 auth.py:8(<module>)
        1    0.000    0.000    0.001    0.001 urllib2.py:854(AbstractBasicAuthHandler)
    73/33    0.000    0.000    0.001    0.000 {issubclass}
       22    0.000    0.000    0.000    0.000 shlex.py:88(get_token)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
