09:19:59,9.00,2,1148,9.01_9.02_9.03_9.04_9.05_,760_649_599_550_367_,9.00_8.99_8.98_8.97_8.96_,3_817_1203_1647_1055_
09:20:05,9.00,2,1148,9.01_9.02_9.03_9.04_9.05_,760_649_599_550_367_,9.00_8.99_8.98_8.97_8.96_,3_1117_1203_1647_1055_
09:20:51,9.00,2,1148,9.01_9.02_9.03_9.04_9.05_,610_549_549_549_367_,9.00_8.99_8.98_8.97_8.96_,103_1176_1103_1147_755_
09:21:06,9.00,3,1151,9.00_9.01_9.02_9.03_9.04_,17_610_549_549_549_,8.99_8.98_8.97_8.96_8.95_,821_1103_1147_755_805_
09:21:16,9.00,3,1154,9.00_9.01_9.02_9.03_9.04_,14_610_549_549_549_,8.99_8.98_8.97_8.96_8.95_,821_1103_1147_755_785_
09:21:37,9.00,14,1168,9.01_9.02_9.03_9.04_9.05_,760_599_550_550_415_,9.00_8.99_8.98_8.97_8.96_,36_1121_1203_1647_1055_
09:21:57,9.00,14,1168,9.01_9.02_9.03_9.04_9.05_,760_599_550_550_436_,9.00_8.99_8.98_8.97_8.96_,36_1171_1403_1447_1055_
09:22:43,9.00,14,1168,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_436_,9.00_8.99_8.98_8.97_8.96_,38_1471_1753_1447_1055_
09:23:04,9.00,14,1168,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,9.00_8.99_8.98_8.97_8.96_,38_1471_1753_1447_1055_
09:23:50,9.00,1,1190,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,9.00_8.99_8.98_8.97_8.96_,16_1471_1753_1447_1055_
09:24:00,9.00,1,1190,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,9.00_8.99_8.98_8.97_8.96_,16_1471_1553_1647_1055_
09:24:21,9.00,10,1200,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,9.00_8.99_8.98_8.97_8.96_,6_1471_1553_1647_1055_
09:24:51,9.00,6,1206,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1471_1555_1647_1055_1078_
09:25:12,9.00,6,1206,9.01_9.02_9.03_9.04_9.05_,860_799_550_550_415_,8.99_8.98_8.97_8.96_8.95_,1491_1555_1649_1055_1078_
