09:51:25,40.03,3,3,40.09_40.10_40.21_,11_11_100_,39.81_39.80_39.79_39.74_39.70_,11_10_10_1_1_
09:52:26,40.03,3,3,40.08_40.09_40.10_40.21_,1_10_11_100_,39.81_39.80_39.79_39.74_39.69_,11_10_10_1_1_
09:56:07,40.03,3,3,40.08_40.09_40.10_40.21_,11_10_1_100_,39.81_39.80_39.79_39.78_39.74_,1_10_10_10_1_
09:57:23,40.03,3,3,40.08_40.09_40.21_,12_10_100_,39.80_39.79_39.78_39.72_39.68_,10_10_10_1_1_
09:59:52,40.03,3,3,40.08_40.09_40.10_40.21_,11_10_1_100_,39.80_39.79_39.78_39.74_39.68_,11_10_10_1_1_
10:00:07,40.03,3,3,40.07_40.08_40.10_40.21_,10_11_1_100_,39.80_39.79_39.78_39.77_39.74_,1_10_10_10_1_
10:00:12,40.03,3,3,40.08_40.09_40.10_40.21_,11_10_1_100_,39.80_39.79_39.78_39.74_39.69_,11_10_10_1_1_
10:00:17,40.03,3,3,40.07_40.08_40.09_40.10_40.21_,1_10_10_1_100_,39.80_39.79_39.78_39.74_39.68_,11_10_10_1_1_
10:01:34,40.03,3,3,40.07_40.08_40.09_40.10_40.21_,1_10_10_1_100_,39.80_39.79_39.78_39.74_39.68_,11_10_10_1_1_
10:03:01,40.03,3,3,40.08_40.09_40.10_40.21_,1_10_11_100_,39.81_39.80_39.79_39.78_39.74_,1_10_10_10_1_
10:03:48,40.03,3,3,40.06_40.07_40.08_40.21_,1_11_10_100_,39.79_39.78_39.77_39.71_39.67_,10_10_10_1_1_
10:04:54,40.03,3,3,40.07_40.08_40.21_,12_10_100_,39.79_39.78_39.77_39.71_39.67_,10_11_10_1_1_
10:05:10,40.03,3,3,40.06_40.07_40.08_40.21_,1_11_10_100_,39.78_39.77_39.76_39.71_,11_10_10_1_
10:05:51,40.03,3,3,40.06_40.07_40.08_40.21_,1_11_10_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:06:01,40.03,3,3,40.07_40.08_40.09_40.21_,1_10_11_100_,39.80_39.79_39.78_39.73_39.68_,10_11_10_1_1_
10:06:11,40.03,3,3,40.07_40.08_40.09_40.21_,11_10_1_100_,39.79_39.78_39.77_39.73_39.68_,11_10_10_1_1_
10:06:52,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.67_,11_10_10_1_1_
10:07:07,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:08:40,40.03,3,3,40.05_40.06_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.75_39.71_,1_10_10_10_1_
10:09:05,40.03,3,3,40.06_40.07_40.08_40.21_,10_11_1_100_,39.78_39.77_39.76_39.71_39.68_,11_10_10_1_1_
10:09:56,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:10:32,40.03,3,3,40.07_40.08_40.21_,11_11_100_,39.79_39.78_39.77_39.71_39.67_,10_11_10_1_1_
10:11:23,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.79_39.78_39.77_39.76_39.71_,1_10_10_10_1_
10:12:56,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:13:01,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.67_,11_10_10_1_1_
10:13:06,40.03,3,3,40.05_40.06_40.07_40.08_40.21_,1_10_10_1_100_,39.78_39.77_39.76_39.75_39.71_,1_10_10_10_1_
10:13:11,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:13:16,40.03,3,3,40.05_40.06_40.07_40.08_40.21_,1_10_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:13:26,40.03,3,3,40.05_40.06_40.07_40.08_40.21_,1_10_10_1_100_,39.78_39.77_39.76_39.71_39.66_,10_11_10_1_1_
10:13:37,40.03,3,3,40.05_40.06_40.07_40.08_40.21_,1_10_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:16:21,40.03,3,3,40.07_40.08_40.21_,11_11_100_,39.79_39.78_39.77_39.71_39.68_,10_11_10_1_1_
10:16:41,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:17:12,40.03,3,3,40.06_40.07_40.08_40.21_,1_10_11_100_,39.78_39.77_39.76_39.71_39.67_,11_10_10_1_1_
10:17:17,40.03,3,3,40.06_40.07_40.08_40.21_,11_10_1_100_,39.78_39.77_39.76_39.71_39.66_,11_10_10_1_1_
10:17:38,40.03,3,3,40.07_40.08_40.21_,11_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
10:17:43,40.03,3,3,40.07_40.08_40.21_,11_11_100_,39.79_39.78_39.77_39.71_39.68_,11_10_10_1_1_
10:17:48,40.03,3,3,40.07_40.08_40.09_40.21_,1_11_10_100_,39.80_39.79_39.78_39.71_39.68_,10_11_10_1_1_
10:19:25,40.03,3,3,40.07_40.08_40.21_,10_11_100_,39.79_39.78_39.77_39.71_39.67_,11_10_10_1_1_
