13:02:09,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:02:19,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_21_3_1_3_
13:02:29,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,4_20_3_1_3_
13:04:43,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:05:29,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:12:23,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:13:39,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:14:26,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:15:27,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_3_1_3_
13:19:43,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:20:24,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_4_1_3_
13:24:39,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_31.21_28.53_28.52_28.19_,3_20_3_1_3_
13:25:26,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_5_,31.22_31.21_28.53_28.52_28.19_,4_20_3_1_3_
13:30:00,31.30,1,6,31.29_31.30_31.31_31.39_31.40_,3_7_2_2_4_,31.22_28.53_28.52_28.19_28.18_,3_3_1_3_3_
