09:00:22,37.60,2,4,42.84_42.85_,1_2_,37.60_37.20_36.80_,1_4_5_
09:52:46,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:52:56,37.93,3,14,38.23_38.24_42.84_42.85_,10_10_1_2_,37.85_37.84_37.83_37.20_36.80_,10_10_10_4_5_
09:53:01,37.93,3,14,38.24_38.25_42.84_42.85_,10_10_1_2_,37.85_37.84_37.83_37.20_36.80_,10_10_10_4_5_
09:53:27,37.93,3,14,38.24_38.25_42.84_42.85_,10_10_1_2_,37.85_37.84_37.83_37.20_36.80_,10_10_10_4_5_
09:53:37,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:53:57,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:54:23,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.92_37.91_37.90_37.20_36.80_,10_10_10_4_5_
09:54:28,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:55:29,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:55:50,37.93,3,14,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:56:00,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.93_37.92_37.91_37.20_36.80_,10_10_10_4_5_
09:56:05,37.93,3,14,38.24_38.25_42.84_42.85_,10_10_1_2_,37.86_37.85_37.84_37.20_36.80_,10_10_10_4_5_
09:56:26,37.93,3,14,38.31_38.32_42.84_42.85_,10_10_1_2_,37.92_37.91_37.90_37.20_36.80_,10_10_10_4_5_
10:01:59,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:02:19,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:02:35,37.93,3,14,38.26_38.27_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:02:40,37.93,3,14,38.33_38.34_42.84_42.85_,10_10_1_2_,37.95_37.94_37.93_37.20_36.80_,10_10_10_4_5_
10:03:05,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:03:36,37.93,3,14,38.27_38.28_42.84_42.85_,10_10_1_2_,37.88_37.87_37.86_37.20_36.80_,10_10_10_4_5_
10:04:02,37.93,3,14,38.34_38.35_42.84_42.85_,10_10_1_2_,37.96_37.95_37.94_37.20_36.80_,10_10_10_4_5_
10:07:47,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:08:39,37.93,3,14,38.35_38.36_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:09:09,37.93,3,14,38.36_38.37_42.84_42.85_,10_10_1_2_,37.97_37.96_37.95_37.20_36.80_,10_10_10_4_5_
10:10:01,37.93,3,14,38.28_38.29_42.84_42.85_,10_10_1_2_,37.90_37.89_37.20_36.80_,10_10_4_5_
