09:02:45,22.01,2,2,22.10_23.00_,1_102_,22.01_21.50_20.15_20.00_,3_1_1_2_
10:08:42,22.03,1,4,22.05_22.09_22.10_22.17_22.32_,1_2_2_8_100_,22.03_22.02_21.60_21.57_21.55_,7_2_1_15_1_
10:11:05,22.03,1,4,22.05_22.09_22.10_22.18_22.32_,1_2_2_8_100_,22.04_22.02_21.60_21.57_21.55_,8_2_1_15_1_
10:11:36,22.03,1,4,22.05_22.09_22.10_22.18_22.32_,1_2_2_8_100_,22.04_22.02_21.60_21.57_21.55_,8_1_2_15_1_
10:11:51,22.03,1,4,22.05_22.09_22.10_22.18_22.32_,1_2_2_8_100_,22.04_22.02_21.60_21.57_21.55_,8_1_2_15_1_
10:16:38,22.03,1,4,22.05_22.09_22.10_22.18_22.32_,1_2_2_8_100_,22.04_22.02_21.60_21.57_21.55_,8_1_2_15_1_
10:17:50,22.04,1,5,22.09_22.10_22.18_22.32_23.00_,2_2_8_100_2_,22.04_22.02_21.60_21.57_21.55_,7_1_2_15_1_
10:22:37,22.04,1,5,22.09_22.10_22.18_22.32_23.00_,2_2_8_100_2_,22.04_21.60_21.57_21.55_21.50_,7_2_15_1_1_
10:31:30,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
10:48:15,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
10:53:43,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
10:55:36,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
10:56:17,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_1_15_1_1_
10:56:22,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
10:57:14,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
10:58:31,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
10:59:53,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:00:08,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:00:18,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:00:59,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:01:45,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:02:47,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:02:57,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:04:45,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:08:30,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:10:54,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:14:54,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:15:56,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:17:33,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:19:00,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:20:17,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:20:48,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:21:24,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:22:00,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:22:26,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:23:01,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,9_1_15_1_1_
11:24:23,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
11:26:42,22.04,1,5,22.09_22.10_22.15_22.32_23.00_,2_2_8_100_2_,22.01_21.60_21.57_21.55_21.50_,8_2_15_1_1_
