11:31:35,28.40,2,2,28.42_28.48_,80_1_,28.20_28.13_,1_20_
11:32:32,28.40,2,2,28.42_28.47_,80_1_,28.19_28.12_,1_20_
11:32:47,28.40,2,2,28.42_28.47_,80_1_,28.19_28.13_,1_20_
11:35:10,28.40,2,2,28.45_28.50_,80_1_,28.23_28.15_,1_20_
11:35:31,28.40,2,2,28.43_28.49_,80_2_,28.22_28.13_,1_20_
11:35:36,28.40,2,2,28.44_28.50_,80_2_,28.22_28.15_,1_20_
11:35:46,28.40,2,2,28.44_28.50_,80_2_,28.23_28.15_,1_20_
11:36:27,28.40,2,2,28.42_28.48_,80_1_,28.21_28.13_,1_20_
11:40:39,28.40,2,2,28.44_28.48_,80_1_,28.21_28.15_,1_20_
11:42:26,28.40,2,2,28.44_28.50_,80_2_,28.22_28.15_,1_20_
11:45:41,28.40,2,2,28.42_28.48_,80_1_,28.21_28.13_,1_20_
11:47:29,28.40,2,2,28.44_28.50_,80_2_,28.22_28.15_,1_20_
11:48:15,28.40,2,2,28.43_,80_,28.22_28.14_,1_20_
11:48:20,28.40,2,2,28.43_28.49_,80_1_,28.22_28.14_,1_20_
11:49:11,28.40,2,2,28.41_28.45_,80_1_,28.18_28.12_,1_20_
11:49:58,28.40,2,2,28.42_28.47_,80_1_,28.19_28.12_,1_20_
11:50:13,28.40,2,2,28.42_28.46_,80_2_,28.18_28.12_,1_20_
11:50:18,28.40,2,2,28.40_,80_,28.19_28.11_,1_20_
11:53:53,28.40,2,2,28.48_,2_,28.21_,1_
11:55:00,28.40,2,2,28.41_28.45_,80_1_,28.17_28.12_,1_20_
11:55:10,28.40,2,2,28.39_28.46_,80_2_,28.18_28.10_,1_20_
11:59:06,28.40,2,2,28.40_28.45_,80_2_,28.10_,20_
11:59:47,28.40,2,2,28.39_28.45_,80_2_,28.18_28.10_,1_20_
12:00:44,28.40,2,2,28.41_28.46_,80_1_,28.19_28.11_,1_20_
12:02:06,28.40,2,2,28.40_28.46_,80_1_,28.19_28.11_,1_20_
12:03:33,28.40,2,2,28.40_28.46_,80_1_,28.18_28.11_,1_20_
12:03:38,28.40,2,2,28.40_28.46_,80_1_,28.19_28.11_,1_20_
12:03:43,28.40,2,2,28.41_28.46_,80_1_,28.19_28.11_,1_20_
12:05:20,28.40,2,2,28.40_28.47_,80_2_,28.19_28.11_,1_20_
12:07:54,28.40,2,2,28.41_28.46_,80_1_,28.19_28.11_,1_20_
12:08:19,28.40,2,2,28.41_28.47_,80_1_,28.20_28.12_,1_20_
12:08:30,28.40,2,2,28.42_28.47_,80_1_,28.20_28.12_,1_20_
12:08:35,28.40,2,2,28.41_28.46_,80_1_,28.19_28.12_,1_20_
12:08:45,28.40,2,2,28.41_28.47_,80_2_,28.20_28.11_,1_20_
12:09:31,28.40,2,2,28.41_28.48_,80_1_,28.20_28.12_,1_20_
12:10:53,28.40,2,2,28.41_28.47_,80_1_,28.20_28.12_,1_20_
12:12:10,28.40,2,2,28.42_28.48_,80_2_,28.21_28.13_,1_20_
12:13:12,28.40,2,2,28.42_28.48_,80_2_,28.21_28.13_,1_20_
12:15:56,28.40,2,2,28.44_28.50_,80_1_,28.23_28.15_,1_20_
12:16:01,28.40,2,2,28.44_28.48_,80_1_,28.21_28.15_,1_20_
12:16:11,28.40,2,2,28.43_28.49_,80_2_,28.22_28.14_,1_20_
12:16:47,28.40,2,2,28.43_28.49_,80_1_,28.22_28.14_,1_20_
12:17:33,28.40,2,2,28.44_28.49_,80_2_,28.22_28.14_,1_20_
12:18:29,28.40,2,2,28.44_28.49_,80_2_,28.22_28.14_,1_20_
12:19:00,28.40,2,2,28.44_28.50_,80_2_,28.22_28.15_,1_20_
12:19:05,28.40,2,2,28.43_28.49_,80_1_,28.21_28.14_,1_20_
12:19:10,28.40,2,2,28.43_28.50_,80_1_,28.23_28.13_,1_20_
12:19:46,28.40,2,2,28.44_28.50_,80_1_,28.22_28.14_,1_20_
12:19:57,28.40,2,2,28.43_28.50_,80_2_,28.23_28.13_,1_20_
12:20:22,28.40,2,2,28.43_28.49_,80_1_,28.22_28.14_,1_20_
12:20:43,28.40,2,2,28.44_28.47_,80_2_,28.20_28.14_,1_20_
12:21:19,28.40,2,2,28.42_,80_,28.21_28.13_,1_20_
12:21:29,28.40,2,2,28.42_28.48_,80_2_,28.21_28.13_,1_20_
12:21:49,28.40,2,2,28.41_28.48_,80_1_,28.20_28.12_,1_20_
12:22:00,28.40,2,2,28.45_28.50_,80_2_,28.22_28.15_,1_20_
12:22:15,28.40,2,2,28.44_28.49_,80_1_,28.22_28.14_,1_20_
12:23:47,28.40,2,2,28.41_28.46_,80_2_,28.19_28.11_,1_20_
12:24:38,28.40,2,2,28.41_28.47_,80_2_,28.19_28.12_,1_20_
12:26:57,28.40,2,2,28.40_28.46_,80_2_,28.18_28.11_,1_20_
12:27:02,28.40,2,2,28.41_28.47_,80_1_,28.19_28.12_,1_20_
12:27:07,28.40,2,2,28.41_28.47_,80_1_,28.20_28.12_,1_20_
12:27:48,28.40,2,2,28.39_28.45_,80_1_,28.17_28.10_,1_20_
12:30:12,28.40,2,2,28.41_28.47_,80_2_,28.20_28.12_,1_20_
12:30:37,28.40,2,2,28.40_28.45_,80_1_,28.17_28.11_,1_20_
12:30:42,28.40,2,2,28.39_28.45_,80_1_,28.17_28.10_,1_20_
12:31:08,28.40,2,2,28.41_28.46_,80_2_,28.19_28.11_,1_20_
12:32:10,28.40,2,2,28.41_,80_,28.19_28.12_,1_20_
12:33:26,28.40,2,2,28.39_28.45_,80_2_,28.18_28.09_,1_20_
12:34:23,28.40,2,2,28.39_28.45_,80_2_,28.18_28.09_,1_20_
12:34:33,28.40,2,2,28.39_28.45_,80_1_,28.17_28.10_,1_20_
12:37:58,28.40,2,2,28.39_28.43_,80_1_,28.16_28.10_,1_20_
12:38:03,28.40,2,2,28.37_28.43_,80_1_,28.16_28.08_,1_20_
12:40:01,28.40,2,2,28.38_28.42_,80_2_,28.15_28.09_,1_20_
12:40:06,28.40,2,2,28.37_28.43_,80_1_,28.16_28.08_,1_20_
12:42:50,28.40,2,2,28.38_28.43_,80_2_,28.16_28.08_,1_20_
12:44:43,28.40,2,2,28.38_28.44_,80_2_,28.17_28.09_,1_20_
12:48:08,28.40,2,2,28.42_28.46_,80_2_,28.19_28.12_,1_20_
12:48:44,28.40,2,2,28.39_28.45_,80_2_,28.17_28.09_,1_20_
12:50:06,28.40,2,2,28.42_28.48_,80_2_,28.20_28.13_,1_20_
12:54:02,28.40,2,2,28.40_28.45_,80_1_,28.18_28.10_,1_20_
12:54:32,28.40,2,2,28.41_28.47_,80_1_,28.19_28.12_,1_20_
12:54:48,28.40,2,2,28.40_28.45_,80_1_,28.18_28.11_,1_20_
12:54:53,28.40,2,2,28.40_28.45_,80_1_,28.18_28.10_,1_20_
12:54:58,28.40,2,2,28.38_28.43_,80_1_,28.16_28.08_,1_20_
12:55:03,28.40,2,2,28.38_28.44_,80_1_,28.17_28.09_,1_20_
12:55:13,28.40,2,2,28.38_28.45_,80_2_,28.17_28.08_,1_20_
